,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Bredasdorp,-34.53,20.04,42.8,93.0,0.0,3.36,ZA
1,Mataura,-46.19,168.86,52.0,74.0,73.0,10.0,NZ
2,Port Macquarie,-31.43,152.92,61.0,73.0,68.0,1.99,AU
3,Ancud,-41.87,-73.82,42.01,93.0,20.0,4.7,CL
4,San Patricio,19.22,-104.7,86.0,74.0,75.0,11.41,MX
5,Busselton,-33.65,115.33,55.99,95.0,66.0,15.84,AU
6,Pevek,69.7,170.31,37.74,95.0,100.0,13.47,RU
7,Coquimbo,-29.95,-71.34,53.6,87.0,100.0,3.36,CL
8,Sitka,57.05,-135.33,55.4,82.0,90.0,10.29,US
9,Butaritari,3.07,172.79,82.11,77.0,90.0,11.68,KI
10,Provideniya,64.38,-173.3,53.6,76.0,90.0,11.18,RU
11,Grand-Santi,4.25,-54.38,74.26,96.0,100.0,3.8,GF
13,Cape Town,-33.93,18.42,57.99,87.0,20.0,11.41,ZA
14,Ulaanbaatar,47.91,106.88,51.8,76.0,75.0,1.05,MN
15,Port Elizabeth,-33.92,25.57,51.8,76.0,0.0,4.7,ZA
16,Grand Gaube,-20.01,57.66,60.8,87.0,75.0,6.93,MU
17,Hobart,-42.88,147.33,44.6,65.0,20.0,9.17,AU
18,Fort-Shevchenko,44.51,50.26,74.39,57.0,0.0,7.43,KZ
19,Aklavik,68.22,-135.01,53.6,71.0,90.0,6.93,CA
20,Kelo,9.31,15.81,72.3,90.0,81.0,2.26,TD
21,Ahipara,-35.17,173.17,61.3,91.0,100.0,14.85,NZ
22,Lüderitz,-26.65,15.16,50.0,93.0,0.0,8.05,NA
23,Luan,46.36,6.98,66.2,88.0,81.0,2.24,CH
24,Camacha,33.08,-16.33,71.6,78.0,20.0,9.17,PT
25,Hithadhoo,-0.6,73.08,81.95,79.0,100.0,11.5,MV
26,Sawtell,-30.38,153.1,63.0,59.0,90.0,14.99,AU
27,Tabuk,17.42,121.44,79.39,81.0,100.0,3.27,PH
28,Orkney,-26.98,26.67,45.0,51.0,0.0,2.84,ZA
29,Vincennes,48.85,2.43,81.0,57.0,65.0,2.24,FR
30,Jamestown,42.1,-79.24,82.0,65.0,1.0,5.82,US
31,Puerto Ayora,-0.74,-90.35,69.01,89.0,72.0,7.92,EC
33,Tasiilaq,65.61,-37.64,39.2,93.0,100.0,18.34,GL
34,Nowy Dwór Mazowiecki,52.43,20.72,68.0,88.0,68.0,4.7,PL
35,Punta Arenas,-53.15,-70.92,32.0,90.0,50.0,8.05,CL
36,Ushuaia,-54.8,-68.3,32.0,92.0,40.0,13.87,AR
37,Hilo,19.73,-155.09,80.6,69.0,90.0,4.7,US
38,Vanimo,-2.67,141.3,84.63,66.0,81.0,4.29,PG
39,Barrow,71.29,-156.79,42.8,87.0,90.0,10.29,US
40,Satuk,41.23,32.38,61.3,86.0,2.0,1.68,TR
41,Vila Velha,-20.33,-40.29,69.8,83.0,75.0,4.7,BR
42,Vaini,-21.2,-175.2,77.0,73.0,40.0,9.17,TO
43,Katy,29.79,-95.82,91.0,62.0,1.0,12.75,US
44,Tripoli,32.88,13.19,78.82,73.0,0.0,10.07,LY
45,Ponta do Sol,32.67,-17.1,73.4,64.0,20.0,11.41,PT
46,Yellowknife,62.46,-114.35,62.6,88.0,90.0,3.36,CA
47,Honiara,-9.43,159.95,82.4,78.0,75.0,4.7,SB
48,Tiksi,71.69,128.87,41.52,74.0,54.0,11.86,RU
49,Turukhansk,65.82,87.98,59.49,73.0,0.0,4.68,RU
50,Puerto Escondido,15.85,-97.07,84.2,66.0,90.0,3.27,MX
51,Lebu,-37.62,-73.65,45.14,71.0,0.0,11.7,CL
53,Vaxjo,56.88,14.81,57.2,93.0,50.0,3.36,SE
55,Kiama,-34.68,150.87,57.99,79.0,21.0,4.0,AU
56,Atuona,-9.8,-139.03,79.3,67.0,0.0,18.32,PF
58,Arraial do Cabo,-22.97,-42.03,71.4,82.0,4.0,24.72,BR
59,Sangmélima,2.93,11.98,66.18,98.0,97.0,4.27,CM
60,Albany,42.6,-73.97,75.0,66.0,19.0,3.74,US
61,Cidreira,-30.18,-50.21,67.1,73.0,0.0,4.76,BR
62,Chateaubelair,13.28,-61.25,82.4,83.0,75.0,13.87,VC
63,Mokrousovo,55.81,66.77,57.81,95.0,27.0,4.45,RU
64,Verāval,20.9,70.37,81.59,85.0,97.0,16.31,IN
65,Dwārka,22.24,68.97,82.94,84.0,100.0,15.86,IN
66,Donegal,54.65,-8.12,56.77,91.0,84.0,3.89,IE
68,Rocha,-34.48,-54.33,53.47,61.0,69.0,14.58,UY
69,Khatanga,71.97,102.5,48.02,64.0,0.0,5.55,RU
70,Lethem,3.38,-59.8,78.08,84.0,100.0,5.64,GY
71,Margherita,27.28,95.68,78.8,94.0,90.0,6.93,IN
72,Kodīnar,20.79,70.7,80.89,86.0,90.0,15.17,IN
73,Kayerkan,69.35,87.76,50.0,100.0,90.0,2.24,RU
74,Rikitea,-23.12,-134.97,70.05,71.0,43.0,22.75,PF
75,Hofn,64.25,-15.21,52.75,96.0,93.0,9.37,IS
76,Rumboci,43.83,17.5,69.8,73.0,0.0,3.36,BA
77,Kapaa,22.08,-159.32,84.2,66.0,75.0,14.99,US
78,Inverness,57.48,-4.22,57.99,93.0,98.0,1.52,GB
79,Constantine,36.37,6.61,73.4,53.0,28.0,4.7,DZ
81,Collie,-33.37,116.15,55.99,95.0,48.0,8.1,AU
82,Port Alfred,-33.59,26.89,56.23,77.0,0.0,9.08,ZA
83,Manta,-0.95,-80.73,73.4,78.0,20.0,8.05,EC
85,Abū Zabad,12.35,29.25,75.42,79.0,100.0,10.25,SD
86,Lompoc,34.64,-120.46,68.0,68.0,1.0,12.75,US
87,Jinxiang,22.86,115.7,83.55,78.0,100.0,9.86,CN
88,Quatre Cocos,-20.21,57.76,60.8,87.0,75.0,6.93,MU
89,Longyearbyen,78.22,15.64,48.2,76.0,75.0,8.05,SJ
90,Port Hedland,-20.32,118.57,68.0,68.0,10.0,10.29,AU
91,Esperance,-33.87,121.9,55.4,82.0,90.0,21.92,AU
92,Huarmey,-10.07,-78.15,60.6,83.0,3.0,7.25,PE
93,Grindavik,63.84,-22.43,51.8,100.0,90.0,18.34,IS
94,Gurupi,-11.73,-49.07,77.67,38.0,2.0,4.85,BR
95,Kjøllefjord,70.95,27.35,50.04,86.0,97.0,15.82,NO
96,Hingatungan,10.58,125.19,83.35,73.0,46.0,4.25,PH
98,Kupang,-10.17,123.58,84.2,62.0,20.0,3.36,ID
99,Kavieng,-2.57,150.8,83.97,66.0,7.0,1.81,PG
100,Port Lincoln,-34.73,135.87,55.81,76.0,96.0,20.69,AU
101,Yar-Sale,66.83,70.83,51.91,97.0,99.0,5.5,RU
102,New Norfolk,-42.78,147.06,41.0,86.0,2.0,1.01,AU
103,Pāvilosta,56.89,21.19,60.8,93.0,0.0,1.12,LV
104,Avarua,-21.21,-159.78,73.4,64.0,14.0,9.17,CK
105,Katsuura,35.13,140.3,93.2,56.0,40.0,18.34,JP
106,Nyaunglebin,17.95,96.73,76.73,92.0,100.0,4.16,MM
108,Belmonte,-15.86,-38.88,71.6,83.0,90.0,12.75,BR
109,Kotdwāra,29.75,78.53,77.0,94.0,75.0,3.36,IN
110,Constitución,-35.33,-72.42,47.23,58.0,6.0,16.8,CL
111,Chui,-33.7,-53.46,55.2,85.0,93.0,11.21,UY
112,Nanortalik,60.14,-45.24,41.05,79.0,4.0,11.12,GL
113,Qaqortoq,60.72,-46.03,48.2,39.0,19.0,8.05,GL
114,Mar del Plata,-38.0,-57.56,46.4,49.0,32.0,13.87,AR
115,Pagudpud,18.56,120.79,80.6,83.0,75.0,4.7,PH
116,Marzuq,14.4,46.47,85.17,26.0,100.0,4.5,YE
117,Cabo San Lucas,22.89,-109.91,84.99,70.0,75.0,18.34,MX
118,Aykhal,66.0,111.5,51.8,100.0,90.0,6.71,RU
119,Kaitangata,-46.28,169.85,55.0,47.0,64.0,15.99,NZ
120,Kashgar,39.45,75.98,71.98,30.0,61.0,1.05,CN
121,Sindor,62.86,51.89,44.58,96.0,29.0,3.22,RU
122,Bluff,-46.6,168.33,52.0,74.0,89.0,10.0,NZ
123,Xiongyue,40.18,122.12,78.62,79.0,3.0,13.22,CN
124,Povenets,62.85,34.83,51.82,90.0,97.0,20.89,RU
125,Hermanus,-34.42,19.23,44.01,96.0,0.0,1.01,ZA
126,Bengkulu,-3.8,102.27,76.28,90.0,57.0,3.67,ID
127,Fortuna,40.6,-124.16,69.01,80.0,7.0,5.01,US
128,Lagoa,39.05,-27.98,69.84,74.0,32.0,13.27,PT
129,Ayan,56.45,138.17,55.8,90.0,100.0,23.0,RU
130,Zambezi,-13.54,23.1,57.72,36.0,0.0,4.34,ZM
131,Chokurdakh,70.63,147.92,45.72,59.0,97.0,9.22,RU
132,Qianjiang,30.42,112.89,80.01,90.0,56.0,6.06,CN
133,São João da Barra,-21.64,-41.05,72.32,82.0,6.0,19.04,BR
134,Lavrentiya,65.58,-171.0,53.13,65.0,0.0,10.51,RU
135,Gardner,42.58,-72.0,84.2,51.0,20.0,6.93,US
136,Pahrump,36.21,-115.98,102.0,7.0,0.0,3.0,US
137,Bacolod City,10.67,122.95,83.71,71.0,49.0,2.39,PH
138,Port Blair,11.67,92.75,81.99,83.0,100.0,16.53,IN
139,Zhigansk,66.77,123.37,45.93,65.0,80.0,12.55,RU
140,Santa Rosa,14.31,121.11,82.99,83.0,100.0,3.87,PH
141,Bam,29.11,58.36,83.08,18.0,52.0,7.96,IR
143,Mongo,12.18,18.69,73.35,85.0,86.0,3.42,TD
144,Cap Malheureux,-19.98,57.61,60.8,87.0,75.0,6.93,MU
145,Necochea,-38.55,-58.74,43.0,68.0,13.0,11.01,AR
146,Krapkowice,50.48,17.97,70.0,81.0,95.0,3.11,PL
147,Lakes Entrance,-37.88,147.98,52.0,75.0,0.0,1.95,AU
148,Natal,-5.79,-35.21,73.4,83.0,4.0,6.93,BR
149,Sinnamary,5.38,-52.95,79.12,84.0,93.0,9.91,GF
150,Marsh Harbour,26.54,-77.06,83.88,70.0,23.0,5.82,BS
151,Castro,-24.79,-50.01,57.74,67.0,0.0,4.18,BR
152,Kumul,42.8,93.45,69.3,64.0,91.0,9.57,CN
153,Tautira,-17.73,-149.15,82.4,65.0,20.0,17.22,PF
154,Longyan,25.11,117.02,74.23,88.0,100.0,4.43,CN
155,Seminole,28.71,-81.21,86.0,66.0,1.0,4.7,US
156,Dikson,73.51,80.55,38.64,88.0,100.0,19.62,RU
157,Upernavik,72.79,-56.15,41.0,79.0,21.0,5.21,GL
158,Akonolinga,3.77,12.25,66.27,98.0,100.0,3.33,CM
159,Mahébourg,-20.41,57.7,60.8,87.0,75.0,6.93,MU
160,Mount Gambier,-37.83,140.77,53.6,71.0,100.0,18.34,AU
161,Ngunguru,-35.62,174.5,61.0,3.0,100.0,20.0,NZ
162,Sicamous,50.83,-118.99,71.6,49.0,75.0,3.36,CA
163,Lisala,2.15,21.52,70.3,97.0,32.0,1.41,CD
164,Beroun,49.96,14.07,64.4,93.0,87.0,4.7,CZ
165,Santa Isabel Rio Negro,-0.41,-65.02,78.55,79.0,73.0,1.57,BR
166,Hūn,29.13,15.95,78.35,56.0,7.0,10.29,LY
167,Saint George,37.1,-113.58,102.0,6.0,1.0,12.75,US
168,Vostok,46.49,135.88,71.2,78.0,100.0,2.95,RU
169,Poum,-20.23,164.02,73.18,75.0,76.0,10.54,NC
170,Yarim,14.3,44.38,60.03,75.0,79.0,4.36,YE
172,Puntarenas,9.98,-84.84,69.8,100.0,75.0,2.24,CR
173,Cacequi,-29.88,-54.83,70.93,65.0,90.0,5.03,BR
174,Hamilton,39.18,-84.53,82.0,69.0,20.0,5.82,US
175,Nikolskoye,59.7,30.79,59.0,67.0,75.0,8.95,RU
176,Egvekinot,66.32,-179.17,54.16,65.0,44.0,6.85,RU
178,Kysyl-Syr,63.9,122.76,57.25,64.0,82.0,2.15,RU
179,Bambous Virieux,-20.34,57.76,60.8,87.0,75.0,6.93,MU
180,Thompson,55.74,-97.86,60.8,82.0,75.0,11.41,CA
182,Severo-Kuril'sk,50.68,156.12,54.14,86.0,98.0,7.2,RU
183,Dunkirk,51.05,2.37,75.99,84.0,54.0,4.94,FR
184,Vestmanna,62.16,-7.17,53.6,100.0,18.0,6.93,FO
185,Nuuk,64.18,-51.72,42.8,70.0,100.0,4.7,GL
186,Eyl,7.98,49.82,76.19,61.0,84.0,30.6,SO
188,Ekibastuz,51.67,75.37,71.89,47.0,89.0,13.85,KZ
189,Baldeogarh,24.75,79.07,79.07,92.0,100.0,7.61,IN
190,Hasaki,35.73,140.83,91.4,66.0,20.0,11.41,JP
191,Karratha,-20.74,116.85,65.59,63.0,3.0,8.46,AU
192,Uglich,57.53,38.33,55.54,96.0,100.0,6.93,RU
193,Talnakh,69.49,88.4,50.0,100.0,90.0,2.24,RU
194,Alofi,-19.06,-169.92,77.0,65.0,75.0,19.46,NU
195,Airai,-8.93,125.41,68.02,83.0,44.0,1.48,TL
196,Mzimba,-11.9,33.6,56.52,45.0,0.0,6.24,MW
197,Brae,60.4,-1.35,55.4,100.0,96.0,5.82,GB
198,Moose Factory,51.26,-80.61,75.2,69.0,75.0,11.41,CA
199,Caborca,30.58,-111.1,100.99,41.0,7.0,7.87,MX
200,Jiazi,22.88,116.07,83.01,80.0,99.0,14.07,CN
201,Galle,6.04,80.22,78.64,86.0,82.0,9.95,LK
202,Byron Bay,-28.65,153.62,66.0,59.0,90.0,13.87,AU
203,Niğde,37.83,34.75,58.35,70.0,4.0,5.48,TR
204,Vertou,47.17,-1.47,73.0,88.0,18.0,2.24,FR
205,Praia da Vitória,38.73,-27.07,73.4,69.0,20.0,11.74,PT
206,Cardoso,-20.08,-49.91,73.04,40.0,1.0,6.17,BR
207,Varca,15.22,73.92,78.03,85.0,100.0,8.93,IN
208,Sisimiut,66.94,-53.67,42.17,77.0,100.0,14.9,GL
210,Kavaratti,10.57,72.64,81.63,79.0,100.0,22.21,IN
211,Nantucket,41.28,-70.1,73.4,94.0,40.0,10.29,US
212,Launceston,-41.45,147.17,48.0,70.0,90.0,5.82,AU
213,Henties Bay,-22.12,14.28,55.0,89.0,0.0,5.44,NA
214,Nebbi,2.48,31.09,66.02,85.0,3.0,5.28,UG
216,Dekar,-21.53,21.93,57.6,34.0,0.0,6.89,BW
217,Jackson,42.42,-122.83,98.6,16.0,1.0,11.41,US
218,Horsham,51.06,-0.33,72.0,73.0,73.0,1.12,GB
219,Mossamedes,-15.2,12.15,60.96,89.0,37.0,4.0,AO
220,Umluj,25.02,37.27,84.45,64.0,0.0,7.76,SA
221,Chenghai,23.46,116.77,80.6,88.0,75.0,4.47,CN
222,George Town,5.41,100.34,82.4,88.0,20.0,2.24,MY
223,Namatanai,-3.67,152.43,84.97,65.0,70.0,1.1,PG
224,Ilulissat,69.22,-51.1,39.2,90.0,41.0,2.24,GL
225,Coos Bay,43.37,-124.22,79.0,77.0,1.0,31.09,US
226,Sijunjung,-0.69,100.95,70.75,86.0,76.0,1.48,ID
227,Owando,-0.48,15.9,74.97,68.0,42.0,2.91,CG
228,Rosetown,51.55,-108.0,75.99,32.0,34.0,5.99,CA
229,Narsaq,60.92,-46.05,48.2,39.0,20.0,8.05,GL
230,Sangar,63.92,127.47,58.03,59.0,0.0,9.44,RU
231,Zyryanka,65.75,150.85,45.91,83.0,100.0,9.46,RU
232,Vila Franca do Campo,37.72,-25.43,69.8,83.0,20.0,11.41,PT
233,Onega,63.91,38.14,51.78,92.0,100.0,11.52,RU
235,Cherskiy,68.75,161.3,45.45,69.0,60.0,11.54,RU
236,Ribeira Grande,38.52,-28.7,70.45,76.0,7.0,12.46,PT
237,Saskylakh,71.92,114.08,50.31,53.0,56.0,5.14,RU
238,Montepuez,-13.13,39.0,65.5,84.0,38.0,6.51,MZ
239,Kirakira,-10.45,161.92,84.51,71.0,91.0,10.31,SB
240,Zuya,45.05,34.32,65.01,59.0,0.0,1.97,UA
241,Coahuayana Viejo,18.73,-103.68,80.6,78.0,40.0,11.41,MX
242,San Ignacio,17.16,-89.07,80.6,94.0,75.0,11.41,BZ
244,Imbituba,-28.24,-48.67,68.0,88.0,0.0,9.17,BR
245,Guatire,10.48,-66.54,73.99,78.0,57.0,2.71,VE
246,Pathein,16.78,94.73,78.93,90.0,100.0,4.61,MM
247,Clyde River,70.47,-68.59,41.0,86.0,90.0,12.75,CA
248,Meïganga,6.52,14.3,64.36,96.0,99.0,3.06,CM
249,Teluk Nibung,3.0,99.82,77.88,83.0,100.0,4.32,ID
250,Tiarei,-17.53,-149.33,82.4,65.0,20.0,17.22,PF
251,Shenjiamen,29.96,122.3,81.28,87.0,0.0,20.6,CN
252,Souillac,-20.52,57.52,60.8,87.0,75.0,6.93,MU
253,Methóni,36.82,21.7,77.0,88.0,0.0,4.32,GR
254,Lazarev,52.23,141.51,60.42,97.0,100.0,18.43,RU
255,Englewood,39.65,-104.99,88.0,16.0,75.0,10.29,US
256,Marrakesh,31.63,-8.01,73.4,64.0,0.0,5.82,MA
257,Kirksville,40.19,-92.58,69.8,88.0,1.0,10.29,US
258,Carnarvon,-24.87,113.63,62.6,100.0,75.0,8.05,AU
259,Muswellbrook,-32.27,150.9,59.0,58.0,54.0,3.0,AU
262,Cockburn Town,21.46,-71.14,82.44,80.0,100.0,16.31,TC
264,Seredka,58.16,28.19,50.0,87.0,0.0,4.47,RU
265,Broken Hill,-31.95,141.43,51.8,76.0,98.0,12.75,AU
266,Carutapera,-1.2,-46.02,77.4,84.0,43.0,6.17,BR
268,Saldanha,-33.01,17.94,42.8,87.0,0.0,3.36,ZA
269,Faya,18.39,42.45,69.8,77.0,61.0,5.01,SA
270,Diu,20.71,70.98,81.01,86.0,96.0,15.77,IN
271,Cherdyn',60.4,56.48,45.77,88.0,0.0,6.71,RU
272,Geraldton,-28.77,114.6,59.0,87.0,75.0,11.41,AU
273,Leshukonskoye,64.9,45.76,43.52,98.0,22.0,4.99,RU
274,Okhotsk,59.38,143.3,61.75,80.0,100.0,10.02,RU
275,French Harbor,16.35,-86.43,83.37,80.0,100.0,20.76,HN
276,Idrinskoye,54.37,92.14,61.3,78.0,0.0,2.33,RU
278,Qaanaaq,77.48,-69.36,40.42,65.0,2.0,2.3,GL
279,Rastatt,48.85,8.2,71.01,72.0,67.0,2.24,DE
280,Saint Lawrence,36.06,14.2,79.0,78.0,0.0,3.36,MT
281,Kaeo,-35.1,173.78,61.0,3.0,100.0,20.0,NZ
282,Atar,20.52,-13.05,98.91,25.0,99.0,15.84,MR
283,Torbay,47.67,-52.73,70.0,68.0,75.0,13.87,CA
284,Kikwit,-5.04,18.82,77.86,58.0,18.0,4.12,CD
285,Padang,-0.95,100.35,78.06,69.0,58.0,4.07,ID
286,Tigzirt,36.89,4.12,79.84,42.0,19.0,7.49,DZ
287,Hambantota,6.12,81.12,79.65,81.0,80.0,17.36,LK
288,Maningrida,-12.07,134.27,76.51,34.0,73.0,8.34,AU
289,Saint-Pierre,-21.34,55.48,68.0,45.0,90.0,10.29,RE
290,Neryungri,56.67,124.65,61.41,74.0,7.0,9.46,RU
291,Taitung City,22.76,121.14,77.0,100.0,75.0,3.36,TW
293,Hokitika,-42.72,170.97,52.57,73.0,17.0,1.66,NZ
294,Bud,39.45,-86.18,84.2,74.0,90.0,8.39,US
295,Serik,36.92,31.1,75.2,69.0,64.0,3.36,TR
296,Victor Harbor,-35.57,138.62,55.0,77.0,100.0,17.31,AU
297,Saint-Philippe,-21.36,55.77,68.0,45.0,90.0,10.29,RE
298,Cravinhos,-21.34,-47.73,73.4,35.0,4.0,5.82,BR
299,Bonavista,48.65,-53.11,69.01,76.0,30.0,3.0,CA
300,Medina del Campo,41.31,-4.91,77.0,56.0,40.0,5.82,ES
301,Kaspiysk,42.88,47.64,73.4,69.0,40.0,4.47,RU
302,Río Gallegos,-51.62,-69.22,33.8,80.0,39.0,13.87,AR
303,Alghero,40.56,8.32,69.8,94.0,12.0,3.36,IT
304,Itarema,-2.92,-39.92,78.22,78.0,0.0,15.48,BR
305,Basco,20.45,121.97,84.9,79.0,100.0,15.03,PH
306,Port Hardy,50.7,-127.42,64.4,59.0,20.0,16.11,CA
307,Cabedelo,-6.98,-34.83,73.4,94.0,75.0,5.82,BR
308,Kruisfontein,-34.0,24.73,47.03,74.0,0.0,6.82,ZA
309,Tuktoyaktuk,69.45,-133.04,51.8,71.0,75.0,2.24,CA
310,Thinadhoo,0.53,72.93,82.72,73.0,100.0,9.66,MV
311,Rohnert Park,38.34,-122.7,79.0,60.0,1.0,10.29,US
312,São Gabriel da Cachoeira,-0.13,-67.09,74.34,94.0,100.0,0.81,BR
313,Hede,33.77,120.25,80.74,89.0,10.0,6.06,CN
315,Port-Cartier,50.03,-66.87,66.2,88.0,40.0,5.82,CA
316,Les Cayes,18.2,-73.75,81.16,79.0,100.0,4.5,HT
317,Bira,49.0,132.47,69.42,92.0,98.0,2.71,RU
318,Sola,-13.88,167.55,78.51,84.0,53.0,14.99,VU
319,Northam,51.03,-4.22,63.0,96.0,35.0,4.0,GB
320,East London,-33.02,27.91,58.12,60.0,0.0,8.08,ZA
